id,state,table,col,type,empty,rows,val_cnt,minv,maxv,unique_vals,duplicates,type_ok
0,NY,mapunit,musym,str,N,8908.0,8908.0,,,3299.0,Y,Y
1,NY,mapunit,muname,str,N,8908.0,8908.0,,,4630.0,Y,Y
2,NY,mapunit,mukind,str,N,8908.0,8905.0,,,4.0,Y,Y
3,NY,mapunit,mustatus,str,Y,8908.0,0.0,,,0.0,Y,Y
4,NY,mapunit,muacres,int,N,8908.0,8908.0,1.0,161281.0,4454.0,Y,Y
5,NY,mapunit,mapunitlfw_l,int,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
6,NY,mapunit,mapunitlfw_r,int,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
7,NY,mapunit,mapunitlfw_h,int,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
8,NY,mapunit,mapunitpfa_l,float,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
9,NY,mapunit,mapunitpfa_r,float,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
10,NY,mapunit,mapunitpfa_h,float,Y,8908.0,0.0,1.0,161281.0,0.0,Y,Y
11,NY,mapunit,farmlndcl,str,N,8908.0,8901.0,,,4.0,Y,Y
12,NY,mapunit,muhelcl,str,Y,8908.0,0.0,,,0.0,Y,Y
13,NY,mapunit,muwathelcl,str,Y,8908.0,0.0,,,0.0,Y,Y
14,NY,mapunit,muwndhelcl,str,Y,8908.0,0.0,,,0.0,Y,Y
15,NY,mapunit,interpfocus,str,N,8908.0,3225.0,,,141.0,Y,Y
16,NY,mapunit,invesintens,str,N,8908.0,6275.0,,,3.0,Y,Y
17,NY,mapunit,iacornsr,int,Y,8908.0,0.0,,,0.0,Y,Y
18,NY,mapunit,nhiforsoigrp,str,N,8908.0,139.0,,,6.0,Y,Y
19,NY,mapunit,nhspiagr,float,N,8908.0,8902.0,0.0,100.0,15.0,Y,Y
20,NY,mapunit,vtsepticsyscl,str,N,8908.0,39.0,,,4.0,Y,Y
21,NY,mapunit,mucertstat,str,Y,8908.0,0.0,,,0.0,Y,Y
22,NY,mapunit,lkey,str,N,8908.0,8908.0,,,65.0,Y,Y
23,NY,mapunit,mukey,str,N,8908.0,8908.0,,,8908.0,N,Y
24,NY,component,comppct_l,int,N,41574.0,34406.0,0.0,100.0,34.0,Y,Y
25,NY,component,comppct_r,int,N,41574.0,41548.0,0,100,80.0,Y,Y
26,NY,component,comppct_h,int,N,41574.0,41574.0,1.0,100.0,35.0,Y,Y
27,NY,component,compname,str,N,41574.0,41574.0,,,737.0,Y,Y
28,NY,component,compkind,str,N,41574.0,31382.0,,,6.0,Y,Y
29,NY,component,majcompflag,str,N,41574.0,41574.0,,,2.0,Y,Y
30,NY,component,otherph,str,N,41574.0,885.0,,,40.0,Y,Y
31,NY,component,localphase,str,N,41574.0,5945.0,,,319.0,Y,Y
32,NY,component,slope_l,float,N,41574.0,33846.0,0.0,60.0,22.0,Y,Y
33,NY,component,slope_r,float,N,41574.0,40889.0,0.0,100.0,59.0,Y,Y
34,NY,component,slope_h,float,N,41574.0,41571.0,0.0,900.0,32.0,Y,Y
35,NY,component,slopelenusle_l,int,N,41574.0,41574.0,2.0,49.0,13.0,Y,Y
36,NY,component,slopelenusle_r,int,N,41574.0,41574.0,6.0,150.0,29.0,Y,Y
37,NY,component,slopelenusle_h,int,N,41574.0,41574.0,15.0,213.0,18.0,Y,Y
38,NY,component,runoff,str,N,41574.0,9955.0,,,6.0,Y,Y
39,NY,component,tfact,int,N,41574.0,41574.0,1.0,5.0,5.0,Y,Y
40,NY,component,wei,str,N,41574.0,20767.0,,,10.0,Y,Y
41,NY,component,weg,str,N,41574.0,20767.0,,,9.0,Y,Y
42,NY,component,erocl,str,N,41574.0,8958.0,,,4.0,Y,Y
43,NY,component,earthcovkind1,str,N,41574.0,14247.0,,,7.0,Y,Y
44,NY,component,earthcovkind2,str,N,41574.0,14119.0,,,19.0,Y,Y
45,NY,component,hydricon,str,N,41574.0,7817.0,,,3.0,Y,Y
46,NY,component,hydricrating,str,N,41574.0,41200.0,,,3.0,Y,Y
47,NY,component,drainagecl,str,N,41574.0,28312.0,,,8.0,Y,Y
48,NY,component,elev_l,float,N,41574.0,38633.0,-10.0,923.0,208.0,Y,Y
49,NY,component,elev_r,float,N,41574.0,41386.0,-4.0,1402.0,326.0,Y,Y
50,NY,component,elev_h,float,N,41574.0,41533.0,-3.0,2743.0,386.0,Y,Y
51,NY,component,aspectccwise,int,N,41574.0,26805.0,0.0,360.0,2.0,Y,Y
52,NY,component,aspectrep,int,N,41574.0,41571.0,0.0,290.0,13.0,Y,Y
53,NY,component,aspectcwise,int,N,41574.0,41358.0,0.0,360.0,3.0,Y,Y
54,NY,component,geomdesc,str,N,41574.0,26850.0,,,385.0,Y,Y
55,NY,component,albedodry_l,float,N,41574.0,41500.0,0.0,0.3700000047683716,13.0,Y,Y
56,NY,component,albedodry_r,float,N,41574.0,41574.0,0.009999999776482582,0.550000011920929,21.0,Y,Y
57,NY,component,albedodry_h,float,N,41574.0,41574.0,0.05999999865889549,0.8999999761581421,10.0,Y,Y
58,NY,component,airtempa_l,float,N,41574.0,41574.0,-34.0,11.0,23.0,Y,Y
59,NY,component,airtempa_r,float,N,41574.0,41574.0,2.0,13.0,21.0,Y,Y
60,NY,component,airtempa_h,float,N,41574.0,41574.0,6.0,17.0,20.0,Y,Y
61,NY,component,map_l,int,N,41574.0,41574.0,660.0,1194.0,50.0,Y,Y
62,NY,component,map_r,int,N,41574.0,41574.0,787.0,1440.0,57.0,Y,Y
63,NY,component,map_h,int,N,41574.0,41574.0,864.0,2420.0,54.0,Y,Y
64,NY,component,reannualprecip_l,int,Y,41574.0,0.0,864.0,2420.0,0.0,Y,Y
65,NY,component,reannualprecip_r,int,Y,41574.0,0.0,864.0,2420.0,0.0,Y,Y
66,NY,component,reannualprecip_h,int,Y,41574.0,0.0,864.0,2420.0,0.0,Y,Y
67,NY,component,ffd_l,int,N,41574.0,41574.0,80.0,223.0,28.0,Y,Y
